PSDI,InChi,HLC (mol m-3 Pa-1),HLC Temperature (C),HLC Solvent InChi,Source,Citation,Master Version
PSDI0004D6,"InChI=1S/C8H10O/c1-6-3-4-8(9)7(2)5-6/h3-5,9H,1-2H3",6.6,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES001406E,0.0.8
PSDI0004D7,"InChI=1S/C7H9N/c1-6-3-4-8-7(2)5-6/h3-5H,1-2H3",0.99,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00140A018,0.0.8
PSDI0004DF,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",970.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI0004E3,"InChI=1S/C7H6N2O4/c1-5-2-3-6(8(10)11)4-7(5)9(12)13/h2-4H,1H3",180.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0004F2,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",1.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S1352-2310(02)00934-2,0.0.8
PSDI000504,InChI=1S/C6H3Cl2NO2/c7-4-1-2-5(8)6(3-4)9(10)11/h1-3H,0.82,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000515,"InChI=1S/C8H18/c1-7(2)5-6-8(3)4/h7-8H,5-6H2,1-4H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/IE030800T,0.0.8
PSDI000516,"InChI=1S/C8H10O/c1-6-3-4-7(2)8(9)5-6/h3-5,9H,1-2H3",7.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00018A027,0.0.8
PSDI000518,"InChI=1S/C6H8N2/c1-5-3-8-6(2)4-7-5/h3-4H,1-2H3",7.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF990470G,0.0.8
PSDI000519,"InChI=1S/C7H9N/c1-6-3-4-7(2)8-5-6/h3-5H,1-2H3",1.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI00051B,"InChI=1S/C6H8S/c1-5-3-4-6(2)7-5/h3-4H,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1111/J.1365-2621.1980.TB00916.X,0.0.8
PSDI00052F,"InChI=1S/C13H21N/c1-12(2,3)10-8-7-9-11(14-10)13(4,5)6/h7-9H,1-6H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JA00518A001,0.0.8
PSDI00053F,InChI=1S/C7H3Cl2N/c8-6-2-1-3-7(9)5(6)4-10/h1-3H,0.48,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00464360,0.0.8
PSDI00054C,"InChI=1S/C8H10O3/c1-10-6-4-3-5-7(11-2)8(6)9/h3-5,9H,1-2H3",37.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(92)90017-L,0.0.8
PSDI000555,"InChI=1S/C8H10O/c1-6-4-3-5-7(2)8(6)9/h3-5,9H,1-2H3",2.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00018A027,0.0.8
PSDI000559,"InChI=1S/C7H6N2O5/c1-4-2-5(8(11)12)7(10)6(3-4)9(13)14/h2-3,10H,1H3",190.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI00055F,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",0.66,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00140A018,0.0.8
PSDI000569,InChI=1S/C12H6Cl2O2/c13-7-1-3-9-11(5-7)16-10-4-2-8(14)6-12(10)15-9/h1-6H,0.17,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(94)90388-3,0.0.8
PSDI00057A,"InChI=1S/C8H19NO/c1-7(2)9(5-6-10)8(3)4/h7-8,10H,5-6H2,1-4H3",2.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000596,"InChI=1S/C4H11NO/c1-4(2,5)3-6/h6H,3,5H2,1-2H3",210.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI0005CB,"InChI=1S/C2HBrF4/c3-1(4)2(5,6)7/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1097/00000542-196403000-00015,0.0.8
PSDI0005D6,"InChI=1S/C4H9Br/c1-3-4(2)5/h4H,3H2,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI0005DD,"InChI=1S/C3H7Br/c1-3(2)4/h3H,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI0005E2,"InChI=1S/C4H10O/c1-3-4(2)5/h4-5H,3H2,1-2H3",0.83,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JXB/48.5.1095,0.0.8
PSDI0005E4,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHROMA.2014.03.040,0.0.8
PSDI0005E7,"InChI=1S/C11H14O3/c1-8(12)3-4-9-5-6-10(13)11(7-9)14-2/h5-7,13H,3-4H2,1-2H3",12000.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.9B06443,0.0.8
PSDI0005EE,"InChI=1S/C4H8O2/c5-3-1-2-4-6/h1-2,5-6H,3-4H2",340.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0005F6,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",3.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0005F7,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",1.8,25.0,InChI=1S/H2O/h1H2,Sander2023,10.2175/106143000X137121,0.0.8
PSDI0005FC,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2",2000.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000602,InChI=1S/C6H4ClNO2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,1.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000608,"InChI=1S/C6H5ClN2O2/c7-5-3-4(9(10)11)1-2-6(5)8/h1-3H,8H2",1000.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000612,"InChI=1S/C6H6ClN/c7-5-3-1-2-4-6(5)8/h1-4H,8H2",0.78,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI000617,InChI=1S/C12H9Cl/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE050308B,0.0.8
PSDI00061C,InChI=1S/C10H7Cl/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE960218U,0.0.8
PSDI00061E,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",1.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES001406E,0.0.8
PSDI00061F,"InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00070A008,0.0.8
PSDI000621,InChI=1S/C5H4ClN/c6-5-3-1-2-4-7-5/h1-4H,0.74,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JA00518A001,0.0.8
PSDI000624,"InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI00062E,"InChI=1S/C10H20O/c1-3-4-5-6-7-8-9-10(2)11/h3-9H2,1-2H3",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/JSFA.1137,0.0.8
PSDI000630,"InChI=1S/C4H11NO/c1-5(2)3-4-6/h6H,3-4H2,1-2H3",93.0,25.0,InChI=1S/H2O/h1H2,Sander2023,Amine Volatility in \chem{CO_2} Capture,0.0.8
PSDI000636,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",8.9,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1136/OEM.45.8.561,0.0.8
PSDI00063B,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",0.15,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.1C07882,0.0.8
PSDI000648,"InChI=1S/C12H12/c1-2-10-7-8-11-5-3-4-6-12(11)9-10/h3-9H,2H2,1H3",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI00064A,"InChI=1S/C7H9N/c1-2-7-5-3-4-6-8-7/h3-6H,2H2,1H3",0.6,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI000653,"InChI=1S/C2H5FO/c3-1-2-4/h4H,1-2H2",0.46,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE900711H,0.0.8
PSDI00065F,"InChI=1S/C7H14O/c1-3-4-5-6-7(2)8/h3-6H2,1-2H3",0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE0600956,0.0.8
PSDI000663,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",0.1,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI000685,"InChI=1S/C3H7I/c1-3(2)4/h3H,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1515/ZPCH-1906-5519,0.0.8
PSDI000696,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",4.4,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI000697,"InChI=1S/C5H10O3/c1-5(6)8-4-3-7-2/h3-4H2,1-2H3",3.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0378-3812(02)00087-0,0.0.8
PSDI000699,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",8.6,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.9B06443,0.0.8
PSDI00069C,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S11270-015-2337-2,0.0.8
PSDI0006A8,"InChI=1S/C5H12O/c1-4-5(2,3)6/h6H,4H2,1-3H3",0.72,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE901063S,0.0.8
PSDI0006B3,"InChI=1S/C5H8O/c1-4-5(2,3)6/h1,6H,2-3H3",2.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0006BB,"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)",99.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF950423Y,0.0.8
PSDI0006C1,"InChI=1S/C7H7NO3/c1-5-3-2-4-6(7(5)9)8(10)11/h2-4,9H,1H3",0.29,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI0006CE,"InChI=1S/C5H10O/c1-3-5(2)4-6/h4-5H,3H2,1-2H3",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S1387-3806(03)00197-0,0.0.8
PSDI0006D0,"InChI=1S/C5H6O/c1-5-3-2-4-6-5/h2-4H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJMS.2015.07.015,0.0.8
PSDI0006D2,"InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00012A017,0.0.8
PSDI0006D5,"InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI0006D8,"InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0304-3894(88)85057-X,0.0.8
PSDI0006DB,"InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.JCT.2012.02.014,0.0.8
PSDI0006DD,"InChI=1S/C4H7N/c1-4(2)3-5/h4H,1-2H3",0.09,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00058A023,0.0.8
PSDI0006DF,"InChI=1S/C5H6N2/c1-5-4-6-2-3-7-5/h2-4H,1H3",4.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JF60178A004,0.0.8
PSDI0006E0,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",0.99,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI0006E5,"InChI=1S/C5H6S/c1-5-3-2-4-6-5/h2-4H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0021-9673(00)91567-X,0.0.8
PSDI000703,"InChI=1S/C6H6N2O2/c7-5-3-1-2-4-6(5)8(9)10/h1-4H,7H2",170.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI00070E,"InChI=1S/C6H5NO3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H",9.9,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI000710,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",0.08,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE9900326,0.0.8
PSDI000713,"InChI=1S/C7H7NO2/c1-6-4-2-3-5-7(6)8(9)10/h2-5H,1H3",0.96,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI000715,"InChI=1S/C9H20O/c1-3-4-5-6-7-8-9(2)10/h9-10H,3-8H2,1-2H3",0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/JSFA.1137,0.0.8
PSDI000716,"InChI=1S/C9H18O/c1-3-4-5-6-7-8-9(2)10/h3-8H2,1-2H3",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00058A023,0.0.8
PSDI00071A,"InChI=1S/C8H16O/c1-3-4-5-6-7-8(2)9/h3-7H2,1-2H3",0.03,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/JSFA.1137,0.0.8
PSDI000722,"InChI=1S/C5H12O/c1-3-4-5(2)6/h5-6H,3-4H2,1-2H3",0.71,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE901063S,0.0.8
PSDI000724,"InChI=1S/C5H10O/c1-3-4-5(2)6/h3-4H2,1-2H3",0.13,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI000739,"InChI=1S/C8H10O/c9-7-6-8-4-2-1-3-5-8/h1-5,9H,6-7H2",37.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI000740,"InChI=1S/C7H15NO/c9-6-4-7-3-1-2-5-8-7/h7-9H,1-6H2",390.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000742,"InChI=1S/C3H8S/c1-3(2)4/h3-4H,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.JCT.2015.10.005,0.0.8
PSDI0007A0,InChI=1S/C12H8Cl2/c13-11-5-1-3-9(7-11)10-4-2-6-12(14)8-10/h1-8H,0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00169A013,0.0.8
PSDI0007A8,"InChI=1S/C3HCl2F5/c4-1(5)2(6,7)3(8,9)10/h1H",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1002/KIN.20780,0.0.8
PSDI0007AE,"InChI=1S/C6H12O/c1-5(7)6(2,3)4/h1-4H3",0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI0007BF,InChI=1S/C6H3Cl2NO2/c7-5-2-1-4(9(10)11)3-6(5)8/h1-3H,1.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0007C6,"InChI=1S/C10H13NO2/c1-7-4-5-9(6-8(7)2)13-10(12)11-3/h4-6H,1-3H3,(H,11,12)",91.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1584/JPESTICS.18.3_201,0.0.8
PSDI0007CC,"InChI=1S/C8H10O/c1-6-3-4-8(9)5-7(6)2/h3-5,9H,1-2H3",24.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00018A027,0.0.8
PSDI0007CD,"InChI=1S/C7H9N/c1-6-3-4-8-5-7(6)2/h3-5H,1-2H3",2.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI0007D4,"InChI=1S/C8H11N/c1-6-3-4-8(9)5-7(6)2/h3-5H,9H2,1-2H3",5.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ES00035A028,0.0.8
PSDI0007DA,"InChI=1S/C7H6Cl2O/c1-10-7-3-5(8)2-6(9)4-7/h2-4H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI0007EA,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",16.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE00018A027,0.0.8
PSDI0007EB,"InChI=1S/C7H9N/c1-6-3-7(2)5-8-4-6/h3-5H,1-2H3",1.4,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI00081A,"InChI=1S/C5H10O/c1-4-5(2,3)6/h4,6H,1H2,2-3H3",0.64,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1023/A:1006169029230,0.0.8
PSDI000830,"InChI=1S/C6H6ClN/c7-5-2-1-3-6(8)4-5/h1-4H,8H2",4.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI000836,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",7.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI00083A,"InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE3010535,0.0.8
PSDI000852,"InChI=1S/C7H9N/c1-2-7-4-3-5-8-6-7/h3-6H,2H2,1H3",0.95,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI00085E,"InChI=1S/C6H12O/c1-3-5-6(7)4-2/h3-5H2,1-2H3",0.08,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI000875,"InChI=1S/C4H5NS/c1-2-3-5-4-6/h2H,1,3H2",0.02,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0011-9164(04)90174-9,0.0.8
PSDI00087E,"InChI=1S/C5H10O/c1-5(2)3-4-6/h4-5H,3H2,1-2H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CEJ.2015.07.053,0.0.8
PSDI000884,"InChI=1S/C5H10O/c1-4(2)5(3)6/h4H,1-3H3",0.09,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI000885,"InChI=1S/C7H7NO3/c1-5-3-2-4-6(9)7(5)8(10)11/h2-4,9H,1H3",3.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI000889,"InChI=1S/C6H14O/c1-4-6(3,7)5-2/h7H,4-5H2,1-3H3",0.48,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1093/JXB/48.5.1095,0.0.8
PSDI00088F,"InChI=1S/C7H7NO3/c1-5-4-6(9)2-3-7(5)8(10)11/h2-4,9H,1H3",620.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI00089E,"InChI=1S/C9H9N/c1-7-6-10-9-5-3-2-4-8(7)9/h2-6,10H,1H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JA01057A045,0.0.8
PSDI0008A2,"InChI=1S/C6H7N/c1-6-3-2-4-7-5-6/h2-5H,1H3",0.42,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/AC00114A029,0.0.8
PSDI0008AE,"InChI=1S/C6H5NO3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H",160.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2007.01.011,0.0.8
PSDI0008B4,"InChI=1S/C7H7NO2/c1-6-3-2-4-7(5-6)8(9)10/h2-5H,1H3",1.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI0008B8,"InChI=1S/C8H18O/c1-3-5-6-7-8(9)4-2/h8-9H,3-7H2,1-2H3",0.12,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.EST.1C07882,0.0.8
PSDI0008BE,"InChI=1S/C5H12O/c1-3-5(6)4-2/h5-6H,3-4H2,1-2H3",0.64,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE901063S,0.0.8
PSDI0008C0,"InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3",0.11,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI0008E4,InChI=1S/C12H8Cl2/c13-11-5-1-9(2-6-11)10-3-7-12(14)8-4-10/h1-8H,0.05,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE050308B,0.0.8
PSDI0008F7,"InChI=1S/C6H14S2/c1-3-5-7-8-6-4-2/h3-6H2,1-2H3",0.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.CHEMOSPHERE.2010.12.051,0.0.8
PSDI0008FB,"InChI=1S/C7H6N2O5/c1-4-2-5(8(11)12)3-6(7(4)10)9(13)14/h2-3,10H,1H3",43.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI00092F,"InChI=1S/C7H7BrO/c1-9-7-4-2-6(8)3-5-7/h2-5H,1H3",0.01,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/S002160101077,0.0.8
PSDI000935,InChI=1S/C12H9BrO/c13-10-6-8-12(9-7-10)14-11-4-2-1-3-5-11/h1-9H,0.05,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE050308B,0.0.8
PSDI00094F,InChI=1S/C12H9Cl/c13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H,0.04,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE050308B,0.0.8
PSDI000953,"InChI=1S/C6H5ClO/c7-5-1-3-6(8)4-2-5/h1-4,8H",6.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI000969,"InChI=1S/C7H9N/c1-2-7-3-5-8-6-4-7/h3-6H,2H2,1H3",1.2,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI000990,"InChI=1S/C7H7NO4/c1-12-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3",5.3,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI000993,"InChI=1S/C7H9NO/c1-9-7-4-2-6(8)3-5-7/h2-5H,8H2,1H3",150.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI00099A,"InChI=1S/C8H10O2/c1-6-3-4-7(9)8(5-6)10-2/h3-5,9H,1-2H3",7.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/0045-6535(92)90017-L,0.0.8
PSDI00099B,"InChI=1S/C7H7NO3/c1-5-2-3-7(9)6(4-5)8(10)11/h2-4,9H,1H3",0.67,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI00099D,"InChI=1S/C6H12O/c1-5(2)4-6(3)7/h5H,4H2,1-3H3",0.06,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/ACS.JCED.9B00726,0.0.8
PSDI0009B1,"InChI=1S/C6H7N/c1-6-2-4-7-5-3-6/h2-5H,1H3",1.7,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/JR9540003188,0.0.8
PSDI0009B6,"InChI=1S/C6H13NO2/c8-4-1-7-2-5-9-6-3-7/h8H,1-6H2",1400.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI0009BC,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",8600.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/S0045-6535(99)00082-X,0.0.8
PSDI0009C2,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",14.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.WATRES.2017.04.074,0.0.8
PSDI0009DA,"InChI=1S/C6H13NO/c1-7-4-2-6(8)3-5-7/h6,8H,2-5H2,1H3",1300.0,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1016/J.IJGGC.2017.01.001,0.0.8
PSDI000A1D,"InChI=1S/C6H4FNO3/c7-4-1-2-5(8(10)11)6(9)3-4/h1-3,9H",0.5,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI000A20,"InChI=1S/C8H14O/c1-7(2)5-4-6-8(3)9/h5H,4,6H2,1-3H3",0.12,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1039/D2EM00365A,0.0.8
PSDI000A2C,"InChI=1S/C7H7NO3/c1-5-2-3-6(8(10)11)7(9)4-5/h2-4,9H,1H3",0.77,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1007/BF00479396,0.0.8
PSDI000A43,"InChI=1S/C12H15N3O6/c1-6-9(13(16)17)7(2)11(15(20)21)8(12(3,4)5)10(6)14(18)19/h1-5H3",0.32,25.0,InChI=1S/H2O/h1H2,Sander2023,10.1021/JE300954S,0.0.8
